,Sentence,PreprocessedSentence,Sentiment
5322,The costs of the new ropax vessels are 30 % lower than those of the present ones .,cost of new ropax vessel be low than those of present one,positive
5323,The deal also includes a ten-year maintenance agreement .,deal also include tenyear maintenance agreement,neutral
5324,"Talvivaara Mining Company PLC ( Talvivaara Mining ) ( LSE : TALV ) , a Finland-based nickel mining business , has installed its second production line at its metals recovery plant on June 9 , 2010 .",talvivaara mining company plc talvivaara mining lse talv finlandbased nickel mining business have instal its second production line at its metal recovery plant june,neutral
5325,The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,transaction would increase earning per share first quarter by some eur,positive
5326,Market data and analytics are derived from primary and secondary research .,market datum analytic be derive from primary secondary research,neutral
5327,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,iwm buy program pop iwm for close print cheap money mean high stock price spy robot buying,positive
5328,"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",cencorp would focus development manufacture marketing of standard product for production automation,neutral
5329,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",crucially decision to use etsi european telecommunication standard institute back dvbh add to grow list of operator equipment manufacturer opt for standard see global january compete technology vie for mobile tv,neutral
5330,"In addition , Kone signed a two-year maintenance contract for the escalators .",addition kone sign twoyear maintenance contract for escalator,positive
5331,"The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .",size of extension of which already have be let have gross area of about sq m sq ft,neutral
5332,The new location is n't the only change Wellmont has in store for its air transport service .,new location be not only change wellmont have store for its air transport service,neutral
5333,Other potential clients include public administration organizations investing in utility networks and services .,other potential client include public administration organization invest utility network service,neutral
5334,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",steelmaker say that drop profit be explain by continue economic uncertainty mix with current drought bank lending result decline demand for its product as customer find it increasingly difficult to fund operation,neutral
5335,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,ea reng group post sale of approximately million kroon for,neutral
5336,Barclays share price subdued as bank faces fresh forex probe,barclay share price subdue as bank face fresh forex probe,negative
5337,The markets expect Heineken to sell Hartwall as a whole or in parts .,market expect heineken to sell hartwall as whole part,neutral
5338,"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",addition to tulikivi corporation he be also currently member of board of follow company altia corporation jrvisuomen portti osuuskunta osuuskunta kpy profile vehicle oy voimatel oy,neutral
5339,"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",total investment vantaa plant extension amount to around million euro okmetic share of investment be worth around million,neutral
5340,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",last year upm cut production close mill finland slash job,negative
5341,"Currently , the plant operates on full capacity .",currently plant operate full capacity,neutral
5342,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",report profile company include many key niche player worldwide such as black decker corporation fiskar corporation fiskars brands inc husqvarna outdoor products inc ks group ryobi technologies inc scotts miraclegro company van group inc,neutral
5343,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,walter investment management corp receive sell from compass point wac,negative
5344,"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",move be carry out by transfer hkscan productionrelate property plant equipment as well as its holding subsidiary associate company country to hkscan finland,neutral
5346,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,chief executive officer ollipekka kallasvuo change tuesday mark third time nine month company have reshuffle executive operation as nokia lose ground to apple iphone rim blackberry,negative
5348,Irish housebuilder Cairn Homes plans London listing,irish housebuilder cairn home plan london list,positive
5349,"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",reward to be pay basis of earn period correspond to value of maximum total of componenta corporation share include also proportion to be pay cash,neutral
5350,"Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built .",cramo manager jarmo laasanen say hire of equipment machinery lithuania differ from other baltic country that lithuania still many public structure such as road bridge airport shop be be build,neutral
5351,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,operate profit for quarter apriljune amount to eur m net sale of eur m,neutral
5352,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",slv pos been say it for year go lower forget about it go short,negative
5353,"Paper company M-real calculated that if 100,000 biscuit cartons are made using a 25gsm lighter board , the CO2 saved over the course of 12 months would be equal to that generated by driving 1,000 km by car .",paper company mreal calculate that if biscuit carton be make use gsm light board co save over course of month would be equal to that generate by drive km by car,neutral
5354,The company expects to open its first online shop in the US in the summer in 2011 .,company expect to open its first online shop us summer,neutral
5355,The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,moscow metro be first metro system europe to implement smart card together with new type of magnetic card,neutral
5356,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",small firm be suffer at moment because they be likely to have money trouble '' he add,negative
5357,Net sales revenue per passenger is expected to increase .,net sale revenue per passenger be expect to increase,positive
5358,Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,return capital employ roce be negative compare to,neutral
5359,"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",indigo somoncom serve subscriber have market share of approximately as of may,neutral
5360,`` I warmly welcome Michael Frei to Outotec .,I warmly welcome michael frei to outotec,positive
5361,ITV share price: Group mulls takeover of Canada's Entertainment One,itv share price group mull takeover of canada entertainment one,positive
5362,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",operate profit for sixmonth period decrease from eur m while sale increase from eur m as compare to corresponding period,neutral
5363,"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",most significant capital expenditure item be global enterprise resource planning erp project product development production machine,neutral
5364,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,kone say court paper that union action delay repair to elevator at federal courthouse jan saltonstall state office building jan,neutral
5365,3rd red day in a row ? $TSLA,rd red day row ? tsla,negative
5366,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",operate profit total eur mn up from operating loss of eur mn yearonyear,positive
5367,"According to Finnish financial services group Sampo 's CEO , Bj+Ârn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history .",accord to finnish financial service group sampo ceo bjrn wahlroos danish danske bank acquisition of sampo bank for eur bn be large cash deal finland economic history,neutral
5368,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",fsecure developer of security solution as service through internet service provider mobile operator announce result from its annual online wellbeing survey,neutral
5369,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",december alone member of lithuanian brewer ' association sell total of million liter of beer increase of percent from sale of million liter december,positive
5370,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",cocacola be market leader of manufacturer with market share of down from corresponding period,neutral
5372,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the aim of growing together with its customers .,finnish componenta have publish its new longterm strategy for period with aim of grow together with its customer,neutral
5373,The veneer and plywood industry in Sweden is quite small despite the raw material resources .,veneer plywood industry sweden be quite small despite raw material resource,neutral
5374,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",finnish metal product company componenta oyj hel cthv say today its net loss narrow to eur usd last quarter of from eur million for same period year early,positive
5375,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",viking pay eur million for new ship which be complete january,neutral
5376,Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .,rautaruukki aim to find work from group other location for those who have be make redundant,neutral
5377,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",accord to company addition to normal seasonal fluctuation market situation have weaken during autumn,negative
5378,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",accord to arokarhu some of purchase that have be scan into cash register computer disappear when total sum key be press,negative
5379,Their names have not yet been released .,their name have not yet be release,neutral
5380,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",also it be bring right kind of people '' to upgrade its human resource,positive
5381,Kesko has previously published a stock exchange release concerning the deal on 7 February 2007 .,kesko have previously publish stock exchange release concern deal february,neutral
5382,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,update exbarclay director accuse by we of illegal tip to plumber,negative
5383,L&G completes UK's largest medically underwritten bulk pension risk deal,lg complete uk large medically underwritten bulk pension risk deal,positive
5384,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",lassila tikanoja operating profit exclude nonrecurre impute item for second quarter be eur m down from eur m year ago,neutral
5385,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",honkarakenne mainly export large luxury log house to russia to be use as onefamily house holiday home of sale go to moscow region about to st petersburg region remainder to other location,neutral
5386,The value of the deal was not disclosed .,value of deal be not disclose,neutral
5387,"HKScan , headquartered in Turku , Finland , is a leading northern European food group with 10,000 employees in nine countries .",hkscan headquarter turku finland be lead northern european food group with employee nine country,neutral
5388,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,tsla I see more downside next two week be careful dollar drop potential vs up move,negative
5389,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",they would invest not only physical infrastructure would also provide knowhow for manage develop science technology park '' say sunrise valley director andrius bagdona,positive
5390,"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",favourable currency rate also contribute to high net sale '' ceo kari kauniskangas say,positive
5391,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,neste oil corporation refining operation asset summary report summary neste oil corporation refining operation asset summary report be essential source for company datum information,neutral
5392,Union and company officials did not return calls yesterday .,union company official do not return call yesterday,neutral
5393,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .",adp new finnish handling system provider cargotec oyj hel cgcbv announce friday it win order worth eur million usd m to deliver linkspan to jordan morocco ireland,positive
5394,"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",german commerzbank ag hamburg branch we jp morgan nyse jpm participate as arranger dutch ing ams inga as coarranger,neutral
5395,Global life science industry is strictly regulated by international and national authorities .,global life science industry be strictly regulate by international national authority,neutral
5396,"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",tieto offer aktia good foundation require support service for implement update project ' say juha volotinen responsible for aktia web service,positive
5397,The company will build altogether 130 new substations by the end of this year .,company build altogether new substation by end of this year,neutral
5398,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",tiimari finnish retailer report to have geenrate quarterly revenue total eur mn th quarter up from eur mn loss,positive
5399,His resignation will take effect immediately .,his resignation take effect immediately,neutral
5400,Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,her work at netapp include strategically reposition brand category major global relaunch,neutral
5402,"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",follow divestment fiskar outdoor unit comprise brand gerber silva buster focus multitool knife compass mobile lighting pedometer aluminium boat,neutral
5403,CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,cf pty ltd become substantial holder renison consolidated mine nl january with million share pc,neutral
5404,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",at cet arcelormittal have lose to eur euronext paris come at lead of bluechip faller,negative
5405,And Ogden reportedly will shell out $ 4.2 million .,ogden reportedly she out million,neutral
5406,$GALE Breakout Coming Soon!,gale breakout come soon !,positive
5407,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",august latvijas finieris order all production line for new green veneer mill to be build ukmerge central lithuania,neutral
5408,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundry division report its sale increase by to eur mn from eur mn corresponding period sale of machine shop division increase by to eur mn from eur mn corresponding period,positive
5409,S&P downgrades Barclays and RBS on government bailout fears,sp downgrade barclay rbs government bailout fear,negative
5410,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group report net sale of eur mn accounting period september february increase of from year early,positive
5411,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,bbry both mm trend turn bullish today with resistance level at,positive
5412,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE",isolationism ? another sell rating sell rating spy qqq iwm several company aapl axp bac blue fxe,negative
5413,The expanded company will continue to be called NewPage .,expand company continue to be call newpage,neutral
5414,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,company say that sale three month to end of march slide to eur m us m from eur m last year,neutral
5415,Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,finnish energy company fortum have set itself new strict target limit for shortterm carbon dioxide emission from its heat electricity production,neutral
5416,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",refining margin for year be bbl compare to bbl prior year,positive
5417,$PRGN A bottom right here?,prgn bottom right here ?,neutral
5418,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,operating profit rise to eur mn from eur mn corresponding period,positive
5419,$TSLA weakest in todays DT watchlist,tsla weak today dt watchlist,negative
5420,"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",tesla voluntary recall of model x vehicle due to back seat issue tsla,negative
5421,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .,manufacturing begin pietarsaari beginning of year delivery take place october,neutral
5422,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",finnish electronics contract manufacturer scanfil report net sale of eur mn down from eur mn,neutral
5423,The customers will have an access to integrated propeller and gear packages from one source .,customer have access to integrated propeller gear package from one source,neutral
5424,"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",addon order contain among other control valve instrumentation as well as complete mill engineering electrification with metso drive control,neutral
5425,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",yit lodge counter claim against neste oil total some eurm primarily base work carry out under contract additional cost incur due to prolongation of project,negative
5426,The reductions will be implemented mainly in the course of the first half of 2009 .,reduction be implement mainly course of first half of,neutral
5427,$UVXY Put the chum out there at key support then next level down - careful,uvxy put chum out there at key support then next level down careful,negative
5428,Inha Works has invested in its product development and market research .,inha work have invest its product development market research,neutral
5429,"Tesco, Asda sales fall as march of the discounters continues: Kantar",tesco asda sale fall as march of discounter continue kantar,negative
5430,The first quarter was as expected and was in line with analysts ' forecasts .,first quarter be as expect be line with analyst ' forecast,neutral
5431,"OMEO ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending April 30 , 2007 .",omeo employ expect net sale of some mln euro mln for fiscal ending april,neutral
5432,"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",at press conference lattelecom board chairman nils melngailis explain that blackstone have be choose for its experience it sector as well as its financial strength,positive
5433,The shares represented 4.998 % of total share capital and 2.14 % of total voting rights .,share represent of total share capital of total voting right,neutral
5434,Mobile data transfer is expected to increase explosively in the LTE era .,mobile data transfer be expect to increase explosively lte era,neutral
5435,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,finnish cutlery hand tool maker fiskar oyj abp hel fisas say today its net profit rise to eur million usd m third quarter of from eur million year early,positive
5436,$REN bottoming out again.. Good time to buy,ren bottom out again good time to buy,positive
5437,"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",addition kazakh delegation visit finland sitra investment fund honkarakenne ltd nokia headquarters to study teliasonera ltd jsc activity,neutral
5438,55 workers in +àm+Ñl will be affected by the close-down .,worker ml be affect by closedown,neutral
5439,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,construction be schedule to start apriljune to be complete early,neutral
5440,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,finnish waste management cleaning group lassila tikanoja oyj lt net profit go down to mln euro mln for from mln euro mln for,neutral
5441,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,operate loss increase to eur mn from loss of eur mn,negative
5442,"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .",jarmo honkamaa head of oil refining business at neste oil say situation look promise from their viewpoint,positive
5443,This is the second successful effort for the financial investor this year .,this be second successful effort for financial investor this year,positive
5444,"$RNN day traders flushed out, it should start going up slowly from now on .",rnn day trader flush out it should start go up slowly from now,positive
5445,"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .",after fix our homebase cut cost close nonprofitable unit we be now look at go forward ' she say,positive
5446,"`` The transaction strengthens our position ... in design and branded goods , '' said Fiskars president and CEO Heikki Allonen , pointing out that the two groups have relatively few overlapping operations .",transaction strengthen our position design brand good '' say fiskar president ceo heikki allonen point out that two group have relatively few overlap operation,positive
5447,Financial terms were n't disclosed .,financial term be not disclose,neutral
5448,Finnish media group Talentum has issued a profit warning .,finnish medium group talentum have issue profit warning,neutral
5449,Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,rubin say he expect capman to announce additional transaction,neutral
5451,The total investment of the project will be approximately EUR 36m .,total investment of project be approximately eur m,neutral
5452,`` Demand for sports equipment was good in 2005 .,demand for sport equipment be good,positive
5453,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",accord to vauramo plant lifting equipment be suitable for asian for some chinese truck,neutral
5455,"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",igor oleg yankov who currently manage moron vitim hold onto stake for now,neutral
5456,"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .",kaukotelko ltd press release at telko group kaukotelko be expand its strategic partnership with bp industrial lubricant service bp il by acquire total ownership of bp swedish retail company moluballoy ab,positive
5457,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",narrow to eur m mo ' october finnish software hardware developer elektrobit oyj hel ebgv eb say today that its net loss narrow to eur m for first nine month of from eur m for same period year ago,positive
5458,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",vaisala also say it expect net sale of eur million for compare with eur million record,positive
5459,"The order also covers design services , hardware , software licences , as well as maintenance services over six years .",order also cover design service hardware software licence as well as maintenance service over six year,neutral
5460,"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn .",company pay dividend of eur per share total of eur mn,neutral
5461,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",compare with ftse index which rise point day this be relative price change of,neutral
5462,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",we have tailor our solution to meet solel technical requirement result be both costeffective manufacturing highestquality reflector '',positive
5463,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,operate income rise to eur mn from eur mn,positive
5464,"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",net sale be about eur billion of which international operation account for roughly quarter,neutral
5465,"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",sale volume cocacola market share have decrease by to,negative
5466,The desk will reach its full planned strength of ten persons in autumn 2007 .,desk reach its full plan strength of ten person autumn,neutral
5467,"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",one price category be for call preferred operator network another for call other operator ' network,neutral
5468,Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,veracel be prepare appeal issue have ask court for clarification of judgement,neutral
5469,The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,first charge station be make available already whole network be to be ready,neutral
5470,It includes options for additional 30 communal building sites as well as construction supervision works for all construction sites .,it include option for additional communal building site as well as construction supervision work for all construction site,neutral
5471,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",operating profit fall to eur mn from eur mn include vessel sale gain of eur mn,neutral
5472,"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",large restructuring be plan for italy where negotiation about job cut be to be initiate today company note,negative
5473,"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",at first solteq service to company operate st petersburg area include maintenance material management system datum collection solution,neutral
5474,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,fb shift minute here suspect to take high,positive
5475,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,wmt bullish with macd crossover with rsi sto go up above ma re could run,positive
5476,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,operating profit rise to eur m from eur m year early,positive
5477,"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",ruukki have sign contract to deliver install steel structure for bridge over kyronsalmi strait savonlinna finland,positive
5478,"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",they can be use to control speed of electric motor use by industry municipal engineering power generation use renewable energy,neutral
5479,Meggitt share price tumbles as profit falls in 'challenging year',meggitt share price tumble as profit fall ' challenging year ',negative
5480,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",imrs it be important to be pragmatic analysishigh price could offer headwindsbullish story intactevenif market roll over,positive
5481,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",top of that us commerce department publish worsethanexpecte construction spending figure for november,neutral
5482,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",under agreement pfizer have be fund biotie research activity pde phosphodiesterase inhibitor program since its start late have sole authority to develop discover compound,neutral
5483,"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",test conduct at nokia siemens ' lte center of competence espoo finland follow company production start of lteready flexi multiradio base station for mhz band april complement early test with nokia mhz mhz band,neutral
5484,"says Brian Burton , Head of IT Security , Vodafone UK .",say brian burton head of it security vodafone uk,neutral
5485,"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",net cash from operating activity be negative eur mn compare to eur mn,neutral
5486,The total need for staff cuts corresponds to about 300 man-years .,total need for staff cut correspond to about manyear,neutral
5487,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework of partnership nokia siemen network have sign initial framework purchase agreement with sitronic subsidiary jsc mikron which be large manufacturer exporter of microelectronic component russia,positive
5488,The estimated annual value of the frame agreement is about EUR 50mn .,estimate annual value of frame agreement be about eur mn,neutral
5489,The company expects its net sales in the first half of 2008 to reach the previous year 's level .,company expect its net sale first half of to reach previous year level,positive
5490,"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets .",addition to its stake megafon telecominvest currently own of share web plus st petersburg payphone telecom equipment producer peterservis number of other minor asset,neutral
5491,"Russia 's top container shipping group , Fesco , and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries , Fesco said in a statement .",russia top container shipping group fesco finnish logistic company nurminen logistic have start pilot project offer client direct intermodal transportation service from finland to asia pacific countries fesco say statement,positive
5492,Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,operating profit fall to eur mn from eur mn,neutral
5493,Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,finnish silicon wafer manufacturer okmetic oyj say it swing to net profit of mln euro mln first nine month of from net loss of mln euro mln year early,positive
5494,"Fiskars R , founded in 1649 , is one of the oldest companies in the world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. .",fiskar r found be one of old company world be large manufacturer of lightweight stainless steel scissor us,neutral
5495,"Berkshire discloses unit's ties to Iran, opens probe",berkshire disclose unit tie to iran open probe,negative
5496,The aim is to convert the plants into flexible manufacturers of new and technologically demanding products .,aim be to convert plant into flexible manufacturer of new technologically demand product,positive
5497,"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them .",today we be connect people new different way fuse advanced mobile technology with personalized service to enable people to stay close to matter to they,neutral
5498,"In the Baltic countries , sales fell by 42.6 % .",baltic country sale fall by,negative
5499,"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",for hour news try icis news click trial '' then icis news,neutral
